specimen_no,is_type,accepted_name,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
2678,,Ourayia uintensis,48562,,,3605,,,,,,,,,
2726,,Palaechthon alticuspis,49617,,,1730,,,,,,,,,
2727,holotype,Plesiolestes nacimienti,49619,,,3711,,,,,,,,,
2728,,Plesiolestes nacimienti,49619,,,3711,,,,,,,,,
2729,,Plesiolestes problematicus,50457,63.3,61.7,2905,-107.735703,41.301399,US,Wyoming,Carbon,stated in text,4,small collection,"SE 1/4 NE 1/4 sec 3 T15N R92W, Washakie Basin"
2730,,Plesiolestes problematicus,50457,61.7,56.8,1671,-110.5,45.799999,US,Montana,Park,based on political unit,1,,"Gallatin N. F., Crazy Mountain Basin"
2731,,Palaechthon woodi,49622,,,1622,,,,,,,,,
2732,,Palaechthon woodi,49622,,,3739,,,,,,,,,
2767,,Palenochtha minor,49618,,,3144,,,,,,,,,
2768,,Palenochtha minor,49618,,,2905,,,,,,,,,
2769,,Palenochtha minor,49618,63.3,61.7,829,-108.349998,43.849998,US,Wyoming,Hot Springs/Washakie,based on political unit,2,small collection,
2770,,Palenochtha weissae,49719,63.3,61.7,2905,-107.735703,41.301399,US,Wyoming,Carbon,stated in text,4,small collection,"SE 1/4 NE 1/4 sec 3 T15N R92W, Washakie Basin"
2773,,Pandemonium dis,49731,66,63.3,3488,-106.099998,47.799999,US,Montana,McCone,based on political unit,1,small collection,
2916,,Paromomys depressidens,50015,,,3144,,,,,,,,,
2917,,Paromomys depressidens,50015,,,1622,,,,,,,,,
2918,,Paromomys depressidens,50015,,,3716,,,,,,,,,
2919,,Paromomys maturus,50016,,,3144,,,,,,,,,
2920,,Paromomys maturus,50016,,,1620,,,,,,,,,
2921,,Paromomys maturus,50016,63.3,61.7,1985,-104.800003,47.099998,US,Montana,Dawson,based on political unit,1,small collection,"near Glendive, Makoshika State Park"
2958,holotype,Cantius abditus,50080,,,1675,,,,,,,,,
2959,,Pelycodus jarrovii,51107,,,1670,,,,,,,,,
2960,,Pelycodus jarrovii,51107,,,2081,,,,,,,,,
2961,,Cantius mckennai,50085,,,2528,,,,,,,,,
2962,holotype,Cantius mckennai,50085,55.8,50.3,1675,-109.083336,44.766666,US,Wyoming,Park,stated in text,minutes,outcrop,"Bird Quarry is ""a single limestone... in a 2 m by 2 m lens... in the northern half of the NE1/4, Section 1, T55N, R102W"" and the Calcirudite Site is ""lenticular and 1-2 m wide in cross section"""
2963,,Cantius mckennai,50085,,,1675,,,,,,,,,
2964,,Cantius ralstoni,50088,55.8,50.3,1675,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
3140,,Ignacius fremontensis,50325,,,1622,,,,,,,,,
3141,,Ignacius frugivorus,47353,61.7,56.8,3139,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
3142,,Ignacius frugivorus,47353,,,3143,,,,,,,,,
3143,,Ignacius frugivorus,47353,61.7,56.8,2176,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
3144,,Walshina mcgrewi,50329,,,2172,,,,,,,,,
3145,,Dillerlemur pagei,50330,56.8,55.8,2953,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
3146,,Phenacolemur praecox,50331,,,8850,,,,,,,,,
3147,,Phenacolemur simonsi,50333,,,1120,,,,,,,,,
3161,,Picrodus silberlingi,50355,,,3144,,,,,,,,,
3162,,Picrodus silberlingi,50355,,,3144,,,,,,,,,
3163,,Picrodus canpacius,68068,61.7,56.8,2525,-109.159103,43.453602,US,Wyoming,Fremont,stated in text,4,outcrop,"NE 1/4 SE 1/4 sec 31 T6N R3W, northern Wind River Basin: MacIntyre 1966"
3164,,Picrodus canpacius,68068,61.7,56.8,1671,-110.5,45.799999,US,Montana,Park,based on political unit,1,,"Gallatin N. F., Crazy Mountain Basin"
3165,,Picrodus calgariensis,68067,63.3,61.7,829,-108.349998,43.849998,US,Wyoming,Hot Springs/Washakie,based on political unit,2,small collection,
3166,,Picrodus calgariensis,68067,63.3,61.7,8868,-114.099998,51,CA,Alberta,,based on nearby landmark,1,,"near Nose Creek in Calgary in SW 1/4 S23 T25 R1, W5"
3167,holotype,Picromomys petersonorum,50356,55.8,50.3,2966,-108,44.5,US,Wyoming,Big Horn,based on political unit,1,,
3189,holotype,Plesiadapis anceps,50429,61.7,56.8,3143,-109.800003,45.799999,US,Montana,Sweetgrass,based on political unit,1,small collection,Crazy Mountain Basin
3190,,Plesiadapis anceps,50429,61.7,56.8,1634,-108.1754,42.2869,US,Wyoming,Fremont,stated in text,4,,"E 1/2 sec 28 T27N R95 W, Bison Basin: Patterson and McGrew 1962"
3191,holotype,Plesiadapis churchilli,50430,61.7,56.8,1634,-109,45.200001,US,Montana,Carbon,based on political unit,1,small collection,Clark's Fork Basin
3192,,Plesiadapis churchilli,50430,61.7,56.8,1635,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,"Badwater Creek, northern Wind River Basin"
3193,,Plesiadapis churchilli,50430,61.7,56.8,2156,-102.748001,49.063999,CA,Saskatchewan,,stated in text,3,small collection,"NW 1/4, Sec. 28, Tp. 1, R 6, W 2 (in Gao & Fox 1998)"
3194,,Plesiadapis churchilli,50430,,,3716,,,,,,,,,
3195,,Plesiadapis cookei,50431,,,8850,,,,,,,,,
3196,,Plesiadapis cookei,50431,56.8,55.8,2953,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
3197,,Plesiadapis dubius,49221,56.8,55.8,1634,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
3198,holotype,Plesiadapis dubius,49221,,,1635,,,,,,,,,
3199,,Plesiadapis dubius,49221,56.8,55.8,1635,-110.334503,41.268299,US,Wyoming,Lincoln,stated in text,4,outcrop,7 mi W of La Barge in secs 1 and 12 T 26 N R 114 W
3200,,Plesiadapis dubius,49221,,,8850,,,,,,,,,
3201,holotype,Plesiadapis fodinatus,50434,61.7,56.8,1634,-108.934402,44.907501,US,Wyoming,Park,stated in text,4,small collection,"sec 21 T57N R100W, Big Horn Basin: Gilmore 1942, repeated by Estes 1975"
3202,,Plesiadapis fodinatus,50434,61.7,56.8,1635,-108.914001,44.907501,US,Wyoming,Park,based on political unit,4,small collection,"sec 22 T57N R100W, Clark's Fork Basin: Estes 1975"
3203,,Plesiadapis fodinatus,50434,,,3716,,,,,,,,,
3204,,Plesiadapis gingerichi,50436,,,8850,,,,,,,,,
3205,holotype,Plesiadapis praecursor,50440,61.7,56.8,1634,-109.800003,45.799999,US,Montana,Sweetgrass,based on political unit,1,small collection,Crazy Mountain Basin
3206,holotype,Plesiadapis praecursor,50440,61.7,56.8,1635,-109.800003,45.799999,US,Montana,Sweetgrass,based on political unit,1,small collection,Crazy Mountain Basin
3207,,Plesiadapis praecursor,50440,61.7,56.8,1635,-109.800003,45.799999,US,Montana,Sweetgrass,based on political unit,1,small collection,Crazy Mountain Basin
3208,,Plesiadapis praecursor,50440,,,1635,,,,,,,,,
3209,,Plesiadapis praecursor,50440,,,829,,,,,,,,,
3210,,Plesiadapis rex,52194,,,3144,,,,,,,,,
3211,,Plesiadapis rex,52194,61.7,56.8,1634,-108.376747,44.723801,US,Wyoming,Big Horn,estimated from map,5,small collection,"9 mi S of Lovell\nJack Horner Res., T55N, R96W, Sect. 23"
3212,holotype,Plesiadapis dubius,49221,56.8,55.8,4268,-110.334503,41.268299,US,Wyoming,Lincoln,stated in text,4,outcrop,7 mi W of La Barge in secs 1 and 12 T 26 N R 114 W
3213,holotype,Plesiadapis simonsi,50443,,,1634,,,,,,,,,
3222,,Plesiolestes problematicus,50457,63.3,61.7,2905,-107.735703,41.301399,US,Wyoming,Carbon,stated in text,4,small collection,"SE 1/4 NE 1/4 sec 3 T15N R92W, Washakie Basin"
3223,holotype,Plesiolestes problematicus,50457,63.3,61.7,1730,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Bighorn Basin
3224,,Plesiolestes problematicus,50457,,,1730,,,,,,,,,
3225,,Plesiolestes problematicus,50457,61.7,56.8,1730,-109.159103,43.453602,US,Wyoming,Fremont,stated in text,4,outcrop,"NE 1/4 SE 1/4 sec 31 T6N R3W, northern Wind River Basin: MacIntyre 1966"
3226,,Torrejonia sirokyi,50458,61.7,56.8,3351,-108.1754,42.2869,US,Wyoming,Fremont,stated in text,4,,"E 1/2 sec 28 T27N R95 W, Bison Basin: Patterson and McGrew 1962"
3317,holotype,Premnoides douglassi,50662,63.3,61.7,1730,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Bighorn Basin
